"","Lat","Long","pairs","landcover"
"1",-54.1153233981203,49.714661648229,1,"Lichen"
"2",-54.1154139244473,49.7131345230278,1,"ConiferScrub"
"3",-54.1939063461557,49.6848366999721,2,"ConiferScrub"
"4",-54.193978792188,49.6835789751527,2,"Wetland"
"5",-54.2365432790637,49.6836136593686,3,"Lichen"
"6",-54.2366350049002,49.6819965255914,3,"Wetland"
"7",-54.2174355651781,49.6758688083463,4,"Lichen"
"8",-54.2175278994903,49.6742516985477,4,"MixedWood"
"9",-54.1919211260221,49.6182156425499,5,"ConiferScrub"
"10",-54.1920347802821,49.6162391981904,5,"Wetland"
"11",-54.2016311615768,49.6009979795082,6,"MixedWood"
"12",-54.2017546439488,49.5988418339904,6,"ConiferScrub"
"13",-54.1106556192183,49.7161645576249,7,"Lichen"
"14",-54.1107249615324,49.7149967611556,7,"ConiferScrub"
"15",-54.0927965844294,49.7108592796109,8,"MixedWood"
"16",-54.2922067014475,49.7148866825377,8,"ConiferScrub"
"17",-54.092898536133,49.709152525446,9,"ConiferForest"
"18",-54.2922816844766,49.7135390157773,9,"Lichen"
"19",-54.258894594723,49.705286321082,10,"ConiferForest"
"20",-54.2590008238063,49.7033996366233,10,"ConiferScrub"
"21",-54.1998054208105,49.6811111892435,11,"Lichen"
"22",-54.1999241709787,49.6790449150904,11,"MixedWood"
"23",-54.2400541707675,49.655899012577,12,"Lichen"
"24",-54.2401456905361,49.6542818662383,12,"ConiferScrub"
"25",-54.1342145139627,49.7189993788815,13,"Rocky"
"26",-54.1343150433148,49.7172925648452,13,"Lichen"
"27",-54.1950471039735,49.7107736398735,14,"Wetland"
"28",-54.1951713573935,49.7086175475618,14,"Rocky"
"29",-54.2873524194134,49.6600762601972,15,"Wetland"
"30",-54.2874173955335,49.658908275945,15,"Lichen"
"31",-54.2470967175345,49.6563366740121,16,"Lichen"
"32",-54.2471677198905,49.6550788862199,16,"ConiferScrub"
"33",-54.3031995323107,49.644163558293,17,"MixedWood"
"34",-54.3032889226867,49.6425463236279,17,"ConiferScrub"
"35",-54.1620052691721,49.6064199500886,18,"ConiferForest"
"36",-54.1620731166784,49.6052520789677,18,"ConiferScrub"
